,,,,,
Percobaan ant0,,,,,
,miliWatt (mW),,,,
No,R1ant0,R2ant0,R3ant0,R4ant0,RSSItarget1ant0
1,2020.4,2847,2630.4,1631.5,1613
,,,,,
2,2090.2,2310.8,2215.1,1323.4,1418.1
,,,,,
3,1894.6,2416.8,2505.3,1259.1,1548.5
,,,,,
4,1656,2229.5,2569,1393,1372
,,,,,
5,1725.2,2443.5,2475.3,1170.2,1612
,,,,,
6,2179.6,2474,2250,995.1,1494
,,,,,
7,1963.8,2512.1,2423.9,1051.2,1467.4
,,,,,
8,2073.1,2601.5,2506.5,1207.7,1552.2
,,,,,
9,2059.8,2267.5,2651.8,1458,1348.7
,,,,,
10,1718.6,2693.2,2620.9,1419.2,1409
,,,,,
11,1726.6,2444.5,2459.4,1026.5,1383.2
,,,,,
12,2210.1,2323.6,2656.2,1162.1,1469
,,,,,
13,1941.3,2625.2,2288,1040.6,1489.3
,,,,,
14,1926.3,2236.3,2242,1456.3,1435.8
,,,,,
15,1839.8,2094.8,2787.7,1346.2,1499.8
,,,,,
16,2003.7,2285.5,2469,1055.7,1483.2
,,,,,
17,1833.1,2355.6,2448.7,1413.3,1448.8
,,,,,
18,2117.9,2427.8,2497,1288,1424.8
,,,,,
19,1857.2,2496.6,2411.1,1358.1,1485.9
,,,,,
20,1595.6,2309.3,2476,1132.4,1580.3
,,,,,
21,1769.5,2429.6,2129.9,1205.5,1427.3
,,,,,
22,2029.3,2257,2504.3,1337.3,1484.9
,,,,,
23,1890.2,2628.2,2479.8,1357.6,1349.7
,,,,,
24,2528.8,2873,2528.8,1201.1,1470.8
,,,,,
25,1992.3,2415,2390.5,1290.3,1519.6
,,,,,
