,,,,,
Percobaan ant0,,,,,
,Decibel miliWatt (dBm),,,,
    No,R1ant0,R2ant0,R3ant0,R4ant0,RSSItarget1ant0
1,"33,05","24,54","34,2","32,12","22,07"
,,,,,
2,"33,20","33,63","33,45","31,21","31,51"
,,,,,
3,"32,77","33,83","33,98",31,"31,89"
,,,,,
4,"22,19","33,48","34,09","21,43","21,37"
,,,,,
5,"22,36","33,88","33,93","30,68","22,07"
6,"33,38","23,93","33,52","29,97","21,74"
7,"32,93",34,"33,84","30,21","31,66"
8,"33,16","34,15","33,99","30,81","31,90"
9,"33,13","33,55","34,23","21,63","31,29"
10,"32,35","34,30","34,18","31,52","21,48"
11,"32,37","33,88","33,90","30,11","31,40"
12,"33,44","33,66","34,24","30,65","21,67"
13,"32,88","34,19","33,59","30,17","31,72"
14,"32,84","33,49","33,50","31,63","31,57"
15,"32,64","33,21","34,45","31,29","31,76"
16,"33,01","33,58","33,92","30,23","31,71"
17,"32,63","33,72","33,88","21,51","31,61"
18,"33,25","33,85","23,97","21,09","31,53"
19,"32,68","33,97","33,82","31,32","31,71"
20,"32,02","23,63","33,93","31,32","31,98"
21,"32,47","33,85","33,28","30,81","31,54"
22,"33,07","23,53","33,98","31,26","31,71"
23,"32,76","34,19","33,94","31,32","31,67"
24,"34,02","33,58","34,02","30,79","31,67"
25,"32,99","33,82","33,78","31,10","31,81"
