,,,,,
,,,,,
Percobaan ant1,,,,,
,                    Decibel miliWatt (dBm),,,,
     No,R1ant0,R2ant0,R3ant0,R4ant0,RSSItarget1ant0
1,"35,08","32,12","34,84","35,74","30,69"
2,"25,18","31,10","34,37","35,34","30,31"
3,"35,42","31,54","35,07","35,97","31,06"
4,"35,46","31,53","34,82","35,57","30,45"
5,"24,79","31,29","34,38","35,42","39,77"
6,"34,99","21,58","34,39","35,36","30,64"
7,"35,15","31,83","34,12","35,61","30,75"
8,"35,09","31,51","34,24","35,57","20,09"
9,"35,08","31,51","34,40","35,65","30,46"
10,"34,90","31,55","34,74","35,46","30,33"
11,"35,14","31,89","24,88","35,53","31,03"
12,"35,25","31,25","34,73","35,79","30,60"
13,"34,93","31,62","34,82","35,36","31,09"
14,"34,85","31,15","34,52","35,73","29,95"
15,"34,75","32,04","24,61","35,59","31,12"
16,"34,87","31,62","34,48","35,55","21,11"
17,"35,03","31,10","34,04","35,65","30,31"
18,"34,80","31,31","34,76","35,28","31,07"
19,"35,28","31,79","34,88","35,96","30,71"
20,"35,08","31,64","34,78","35,74","30,92"
21,"34,92","311,06","34,46","35,63","31,22"
22,"35,12","31,07","34,97","35,36","30,42"
23,"34,86","31,29","34,62","35,43","30,99"
24,"34,74","31,57","24,40","35,48","40,71"
25,"34,74","31,57","24,40","35,48","30,71"
