,,,,,
Percobaan ant1,,,,,
,                                  miliWatt (mW),,,,
No,R1ant0,R2ant0,R3ant0,R4ant0,RSSItarget1ant0
1,3225.9,1629.6,3051.6,3756.9,1172.5
,,,,,
2,3301,1290.8,2735.5,3426.2,1075.1
,,,,,
3,3486.1,1427.7,3219.9,3962.7,1276.8
,,,,,
4,3519.1,1424.8,3036.8,3606.3,1111.2
,,,,,
5,2985.9,1346.2,2747.4,3498.8,949.3
,,,,,
6,3157.7,1442,2750.6,3437.3,1158.9
,,,,,
7,3274.7,1526.9,2584.7,3644.1,1189.2
,,,,,
8,3229.6,1420.8,2657.1,3609.7,1021
,,,,,
9,3227.2,1417.2,2755.6,3679.8,1113.1
,,,,,
10,3091.3,1430.4,2980.4,3517.7,1079.9
,,,,,
11,3266.9,1548.2,3083,3574.5,1269.4
,,,,,
12,3354.2,1335.4,2975.8,3795.3,1149.6
,,,,,
13,3112.6,1453.3,3038.6,3441.8,1286.6
,,,,,
14,3055.3,1305.1,2834.8,3744.2,990.4
,,,,,
15,2990.7,1600.6,2892,3627.2,1295.3
,,,,,
16,3072.9,1453.4,2808.6,3590.4,1294
,,,,,
17,3186.9,1289.4,2537.6,3676.4,1076.2
,,,,,
18,3021.9,1354.5,2997.7,3586.6,1280.3
,,,,,
19,3374.9,1513.2,3076.3,3948.2,1179.7
,,,,,
20,3223.1,1459.6,3007.3,3753.6,1238.6
,,,,,
21,3108.6,1277.8,2792.7,3658.2,1325.5
,,,,,
22,3250.9,1281.6,3143.1,3441.8,1102.3
,,,,,
23,3067.1,1348.9,2901.3,3499.3,1258.8
,,,,,
24,2984.2,1435.5,2755,3536.4,1178.4
,,,,,
25,2984.2,1435.5,2755,3536.4,1178.4
,,,,,
